Date,Team,Versus,Opponent,Score,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year
Fri11/21,OKC,vs,NOH,L80-105,29,5,14,35.7,0,0,,5,6,83.3,1,2,3,3,2,0,4,3,15,-6,2009.0
Wed11/19,OKC,vs,LAC,L88-108,30,4,11,36.4,0,0,,2,2,100.0,1,4,5,4,1,0,3,1,10,+4,2009.0
Mon11/17,OKC,vs,HOU,L89-100,28,5,14,35.7,0,3,0.0,4,6,66.7,1,1,2,2,5,0,3,3,14,+2,2009.0
Sat11/15,OKC,@,PHI,L85-110,24,3,12,25.0,0,0,,7,8,87.5,1,0,1,4,1,1,2,4,13,+3,2009.0
Fri11/14,OKC,@,NYK,L106-116,28,6,12,50.0,1,4,25.0,6,7,85.7,5,5,10,6,1,1,3,5,19,+1,2009.0
Wed11/12,OKC,vs,ORL,L92-109,30,3,19,15.8,0,2,0.0,7,8,87.5,5,0,5,4,0,1,3,3,13,-9,2009.0
Mon11/10,OKC,@,IND,L99-107,26,1,10,10.0,1,3,33.3,3,4,75.0,0,2,2,4,2,1,3,4,6,+6,2009.0
Sun11/9,OKC,vs,ATL,L85-89,25,6,14,42.9,0,2,0.0,3,3,100.0,1,0,1,2,2,0,3,0,15,+7,2009.0
Fri11/7,OKC,@,UTA,L97-104,17,1,8,12.5,0,0,,4,4,100.0,1,0,1,1,0,0,2,1,6,-5,2009.0
Wed11/5,OKC,vs,BOS,L83-96,19,4,13,30.8,3,5,60.0,2,2,100.0,3,2,5,1,1,0,2,3,13,-3,2009.0
Sun11/2,OKC,vs,MIN,W88-85,25,6,13,46.2,0,1,0.0,2,3,66.7,1,0,1,2,2,0,3,1,14,+7,2009.0
Sat11/1,OKC,@,HOU,L77-89,19,2,7,28.6,0,1,0.0,2,2,100.0,0,2,2,3,1,0,2,2,6,-19,2009.0
Average,,,,,27.2,4.1,11.9,34.5,0.4,1.5,24.0,3.6,4.5,81.6,1.8,1.5,3.3,4.1,1.9,0.3,2.5,2.5,12.2,-0.4,2009.0
Wed10/29,OKC,vs,MIL,L87-98,22,4,9,44.4,1,2,50.0,4,6,66.7,4,0,4,4,0,1,2,2,13,+5,2009.0
Average,,,,,21.9,4.0,9.0,44.4,1.0,2.0,50.0,4.0,6.0,66.7,4.0,0.0,4.0,4.0,0.0,1.0,2.0,2.0,13.0,5.0,2009.0
