Opponent,Min,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,+/-,Year,Team score,Opponent score,date,Season,Lose,Win,Friday,Monday,Saturday,Sunday,Thursday,Tuesday,Wednesday,HOU,LAC,LAL,OKC,WAS,Playoff,Regular
CHI,43.0,5.0,20.0,25.0,0.0,0.0,0.0,4.0,5.0,80.0,7.0,5.0,12.0,4.0,2.0,0.0,3.0,0.0,14.0,12.0,2009,109,98,2009-01-10,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,1
NJN,37.0,7.0,19.0,36.8,0.0,2.0,0.0,5.0,5.0,100.0,1.0,4.0,5.0,4.0,2.0,0.0,2.0,4.0,19.0,-1.0,2009,99,103,2009-01-12,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1
UTA,31.0,8.0,14.0,57.1,0.0,0.0,0.0,6.0,8.0,75.0,1.0,1.0,2.0,7.0,3.0,0.0,1.0,4.0,22.0,21.0,2009,114,93,2009-01-14,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
DET,27.0,2.0,10.0,20.0,0.0,1.0,0.0,1.0,2.0,50.0,2.0,0.0,2.0,6.0,0.0,0.0,2.0,2.0,5.0,-2.0,2009,89,79,2009-01-16,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1
MIA,37.0,4.0,12.0,33.3,0.0,1.0,0.0,6.0,6.0,100.0,2.0,6.0,8.0,3.0,1.0,1.0,4.0,2.0,14.0,-8.0,2009,94,104,2009-01-18,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1
GSW,39.0,11.0,19.0,57.9,3.0,4.0,75.0,5.0,5.0,100.0,2.0,2.0,4.0,7.0,1.0,0.0,4.0,2.0,30.0,0.0,2009,122,121,2009-01-21,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
LAC,37.0,4.0,13.0,30.8,1.0,2.0,50.0,2.0,2.0,100.0,1.0,2.0,3.0,2.0,1.0,0.0,3.0,2.0,11.0,-11.0,2009,104,107,2009-01-23,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
NJN,23.0,3.0,7.0,42.9,1.0,2.0,50.0,6.0,6.0,100.0,1.0,7.0,8.0,4.0,0.0,0.0,3.0,1.0,13.0,19.0,2009,94,85,2009-01-26,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1
MEM,34.0,7.0,14.0,50.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0,1.0,2.0,5.0,2.0,0.0,2.0,2.0,16.0,10.0,2009,114,102,2009-01-28,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1
UTA,39.0,7.0,14.0,50.0,0.0,3.0,0.0,6.0,7.0,85.7,5.0,3.0,8.0,3.0,1.0,0.0,4.0,3.0,20.0,-12.0,2009,90,110,2009-01-30,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1
